Date,Followers,Change
01-Jan-26,99784,109
02-Jan-26,99775,-9
03-Jan-26,99780,5
04-Jan-26,99420,-360
05-Jan-26,98626,-794
06-Jan-26,98905,279
07-Jan-26,98964,59
08-Jan-26,98577,-387
09-Jan-26,100999,2422
10-Jan-26,100451,-548
11-Jan-26,100040,-411
12-Jan-26,100285,245
13-Jan-26,100530,245
14-Jan-26,100353,-177
15-Jan-26,100187,-166
16-Jan-26,100393,206
17-Jan-26,100396,3
18-Jan-26,100359,-37
19-Jan-26,100998,639
20-Jan-26,100806,-192
21-Jan-26,100729,-77
22-Jan-26,100699,-30
23-Jan-26,100918,219
24-Jan-26,101714,796
25-Jan-26,102789,1075
26-Jan-26,103479,690
27-Jan-26,104637,1158
28-Jan-26,105389,752
29-Jan-26,105938,549
30-Jan-26,106426,488
31-Jan-26,106974,548
01-Feb-26,107482,508
02-Feb-26,108122,640
03-Feb-26,108800,678
04-Feb-26,109399,599
05-Feb-26,110013,614
06-Feb-26,110475,462
07-Feb-26,110929,454
08-Feb-26,111298,369
09-Feb-26,111750,452
10-Feb-26,111952,202
11-Feb-26,112282,330
12-Feb-26,112668,386
13-Feb-26,113095,427
14-Feb-26,113545,450
15-Feb-26,113935,390
16-Feb-26,114208,273
17-Feb-26,114509,301
18-Feb-26,114755,246
19-Feb-26,115029,274
20-Feb-26,115301,272
21-Feb-26,115627,326
22-Feb-26,115902,275
23-Feb-26,116105,203
24-Feb-26,116186,81
25-Feb-26,116261,75
26-Feb-26,116356,95
27-Feb-26,116443,87
28-Feb-26,116522,79
01-Mar-26,116642,120
02-Mar-26,116758,116
03-Mar-26,116879,121
04-Mar-26,116966,87
05-Mar-26,117082,116
06-Mar-26,117169,87
07-Mar-26,117295,126
08-Mar-26,117395,100
09-Mar-26,117460,65
10-Mar-26,117524,64
11-Mar-26,117587,63
12-Mar-26,117652,65
13-Mar-26,117747,95
14-Mar-26,117829,82
15-Mar-26,117932,103
16-Mar-26,118013,81
17-Mar-26,118066,53
18-Mar-26,118148,82
19-Mar-26,118219,71
20-Mar-26,118333,114
21-Mar-26,118464,131
22-Mar-26,118547,83
23-Mar-26,118583,36
24-Mar-26,118633,50
25-Mar-26,118662,29
26-Mar-26,118773,111
27-Mar-26,118883,110
28-Mar-26,118981,98
29-Mar-26,119141,160
30-Mar-26,119263,122
31-Mar-26,119337,74